SleepModelKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;type;deep_sleep_duration;rem_sleep_duration;light_sleep_duration;awake_time;time_in_bed;bedtime_start;bedtime_end;latency;sleep_phase_5_min;average_heart_rate;average_hrv;average_breath;lowest_heart_rate;restless_periods;efficiency;day;timestamp
user1_sleepmodel_20250611_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250611_1;long_sleep;9000;7200;16200;1800;34200;2025-06-11T22:00:00-04:00;2025-06-12T06:30:00-04:00;300;1111122222333444555566667777888899990000;64;48;13.5;52;1;97;2025-06-11;2025-06-11T04:00:00-04:00
user1_sleepmodel_20250612_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250612_1;long_sleep;5400;3600;14400;7200;30600;2025-06-12T00:00:00-04:00;2025-06-12T07:30:00-04:00;1200;1112222333444555566667777888899990000;76;35;15.8;64;6;82;2025-06-12;2025-06-12T04:00:00-04:00
user1_sleepmodel_20250613_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250613_1;long_sleep;7800;6000;17400;3000;34200;2025-06-13T22:45:00-04:00;2025-06-14T06:45:00-04:00;540;1111222222333444555566667777888899990000;67;44;14.0;55;2;94;2025-06-13;2025-06-13T04:00:00-04:00
user1_sleepmodel_20250614_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250614_1;long_sleep;6900;5100;16800;4200;33000;2025-06-14T23:15:00-04:00;2025-06-15T07:15:00-04:00;720;1112222333444555566667777888899990000;70;40;14.6;58;3;91;2025-06-14;2025-06-14T04:00:00-04:00
user1_sleepmodel_20250615_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250615_1;long_sleep;7200;5400;18000;3600;34200;2025-06-15T23:00:00-04:00;2025-06-16T07:00:00-04:00;600;1111122222333444555566667777888899990000;68;42;14.2;56;2;95;2025-06-15;2025-06-15T04:00:00-04:00
user1_sleepmodel_20250616_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250616_1;long_sleep;8100;6300;17100;2700;34200;2025-06-16T22:30:00-04:00;2025-06-17T06:30:00-04:00;450;1111222222333444555566667777888899990000;66;45;13.8;54;1;96;2025-06-16;2025-06-16T04:00:00-04:00
user1_sleepmodel_20250617_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250617_1;long_sleep;6300;4500;16200;5400;32400;2025-06-17T23:30:00-04:00;2025-06-18T07:00:00-04:00;900;1112222333444555566667777888899990000;72;38;15.1;60;4;88;2025-06-17;2025-06-17T04:00:00-04:00
user1_sleepmodel_20250618_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250618_1;long_sleep;9000;7200;16200;1800;34200;2025-06-18T22:00:00-04:00;2025-06-19T06:30:00-04:00;300;1111122222333444555566667777888899990000;64;48;13.5;52;1;97;2025-06-18;2025-06-18T04:00:00-04:00
user1_sleepmodel_20250619_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250619_1;long_sleep;5400;3600;14400;7200;30600;2025-06-19T00:00:00-04:00;2025-06-19T07:30:00-04:00;1200;1112222333444555566667777888899990000;76;35;15.8;64;6;82;2025-06-19;2025-06-19T04:00:00-04:00
user1_sleepmodel_20250620_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250620_1;long_sleep;7800;6000;17400;3000;34200;2025-06-20T22:45:00-04:00;2025-06-21T06:45:00-04:00;540;1111222222333444555566667777888899990000;67;44;14.0;55;2;94;2025-06-20;2025-06-20T04:00:00-04:00
user1_sleepmodel_20250621_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250621_1;long_sleep;6900;5100;16800;4200;33000;2025-06-21T23:15:00-04:00;2025-06-22T07:15:00-04:00;720;1112222333444555566667777888899990000;70;40;14.6;58;3;91;2025-06-21;2025-06-21T04:00:00-04:00
user1_sleepmodel_20250622_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250622_1;long_sleep;7200;5400;18000;3600;34200;2025-06-22T23:00:00-04:00;2025-06-23T07:00:00-04:00;600;1111122222333444555566667777888899990000;68;42;14.2;56;2;95;2025-06-22;2025-06-22T04:00:00-04:00
user1_sleepmodel_20250623_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250623_1;long_sleep;8100;6300;17100;2700;34200;2025-06-23T22:30:00-04:00;2025-06-24T06:30:00-04:00;450;1111222222333444555566667777888899990000;66;45;13.8;54;1;96;2025-06-23;2025-06-23T04:00:00-04:00
user1_sleepmodel_20250624_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250624_1;long_sleep;6300;4500;16200;5400;32400;2025-06-24T23:30:00-04:00;2025-06-25T07:00:00-04:00;900;1112222333444555566667777888899990000;72;38;15.1;60;4;88;2025-06-24;2025-06-24T04:00:00-04:00
user1_sleepmodel_20250625_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250625_1;long_sleep;9000;7200;16200;1800;34200;2025-06-25T22:00:00-04:00;2025-06-26T06:30:00-04:00;300;1111122222333444555566667777888899990000;64;48;13.5;52;1;97;2025-06-25;2025-06-25T04:00:00-04:00
user1_sleepmodel_20250626_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250626_1;long_sleep;5400;3600;14400;7200;30600;2025-06-26T00:00:00-04:00;2025-06-26T07:30:00-04:00;1200;1112222333444555566667777888899990000;76;35;15.8;64;6;82;2025-06-26;2025-06-26T04:00:00-04:00
user1_sleepmodel_20250627_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250627_1;long_sleep;7800;6000;17400;3000;34200;2025-06-27T22:45:00-04:00;2025-06-28T06:45:00-04:00;540;1111222222333444555566667777888899990000;67;44;14.0;55;2;94;2025-06-27;2025-06-27T04:00:00-04:00
user1_sleepmodel_20250628_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250628_1;long_sleep;6900;5100;16800;4200;33000;2025-06-28T23:15:00-04:00;2025-06-29T07:15:00-04:00;720;1112222333444555566667777888899990000;70;40;14.6;58;3;91;2025-06-28;2025-06-28T04:00:00-04:00
user1_sleepmodel_20250629_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250629_1;long_sleep;7200;5400;18000;3600;34200;2025-06-29T23:00:00-04:00;2025-06-30T07:00:00-04:00;600;1111122222333444555566667777888899990000;68;42;14.2;56;2;95;2025-06-29;2025-06-29T04:00:00-04:00
user1_sleepmodel_20250630_1;user-1;user_1;2025-07-01T10:00:00Z;u1_sleepmodel_20250630_1;long_sleep;8100;6300;17100;2700;34200;2025-06-30T22:30:00-04:00;2025-07-01T06:30:00-04:00;450;1111222222333444555566667777888899990000;66;45;13.8;54;1;96;2025-06-30;2025-06-30T04:00:00-04:00
